sequence,species,n_individuals.per.Vial,lifeStage,Chamber,wellLocation,container,collectionDate,preservationDate,preservationMaterial,preservationExpression,collectionLocation,collectionCoordinates(LAT),collectionCoordinates(LON),collectionMaterial
26,brachyura_ssp.,1,Molt,CH07,W6_13_01.01,2.5mL,6/9/21,6/18/21,EtOH,"""2021-06-18_Molt_CH07_2021-06-09_SEQ01_W6_13_01.01""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
27,brachyura_ssp.,1,instar,CH07,W6_13_01.01,2.5mL,6/9/21,6/18/21,EtOH,"""2021-06-18_crab_CH07_2021-06-09_SEQ01_W6_13_01.01""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
28,brachyura_ssp.,1,instar,CH07,W6_57_02.01,2.5mL,6/9/21,6/17/21,EtOH,"""2021-06-17_crab_CH06_2021-06-09_SEQ01_W6_57_02.01""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
29,brachyura_ssp.,1,zoeaMOLT,CH06,W6_57_02.01,2.5mL,6/9/21,6/17/21,EtOH,"""2021-06-17_Molt_CH06_2021-06-09_SEQ01_W6_57_02.01""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
30,brachyura_ssp.,1,zoeaMOLT,CH07,W6_47_05.01,2.5mL,6/9/21,6/15/21,EtOH,"""2021-06-15_Molt_CH07_2021-06-09_SEQ01_W6_47_05.01""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
31,brachyura_ssp.,1,instar,CH07,W6_47_05.01,2.5mL,6/9/21,6/15/21,EtOH,"""2021-06-15_Crab_CH07_2021-06-09_SEQ01_W6_47_05.01""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
32,brachyura_ssp.,1,instar,CH07,W6_13_04.01,2.5mL,6/9/21,6/15/21,EtOH,"""2021-06-15_Crab_CH07_2021-06-09_SEQ01_W6_13_04.01""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
33,brachyura_ssp.,1,zoeaMOLT,CH07,W6_13_04.01,2.5mL,6/9/21,6/15/21,EtOH,"""2021-06-15_Molt_CH07_2021-06-09_Seq01_W6_13_04.01""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
34,brachyura_ssp.,1,zoeaMOLT,CH07,W6_137_06.01,2.5mL,6/9/21,6/15/21,EtOH,"""2021-06-14_Molt_CH07_2021-06-09_Seq01_W6_137_06.01""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
35,brachyura_ssp.,1,megalopae,CH07,W6_137_06.01,2.5mL,6/9/21,6/14/21,EtOH,"""2021-06-14_Molt_CH07_2021-06-09_Seq01_W6_137_06.01""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
36,brachyura_ssp.,1,instar,CH07,W6_52_02.01,2.5mL,6/9/21,6/14/21,EtOH,"""2021-06-14_crab_CH07_2021-06-09_Seq01_W6_52_02.01""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
37,brachyura_ssp.,1,zoeaMOLT,CH07,W6_52_02.01,2.5mL,6/9/21,6/14/21,EtOH,"""2021-06-14_crab_CH07_2021-06-09_Seq01_W6_52_02.01""",RosarioBeach,48.416585,-122.663184,SwinomishLightTrap
